DCA_Code,Common_Name,Scientific_Name,Category
12116,pine butterfly,Neophasia menapia,Defoliators
12117,false hemlock looper,Nepytia canosaria,Defoliators
12119,locust leafminer,Odontota dorsalis,Defoliators
12120,Bruce spanworm,Operophtera bruceata,Defoliators
12121,rusty tussock moth,Orgyia antiqua,Defoliators
12122,whitemarked tussock moth,Orgyia leucostigma,Defoliators
12123,Douglas-fir tussock moth,Orgyia pseudotsugata,Defoliators
12124,western tussock moth,Orgyia vetusta,Defoliators
12125,spring cankerworm,Paleacrita vernata,Defoliators
12126,black citrus swallowtail butterfly,Papilio polytes,Defoliators
12127,maple leafcutter,Paraclemensia acerifoliella,Defoliators
12128,pine tussock moth,Dasychira pinicola,Defoliators
12129,poinciana looper,Pericyma cruegeri,Defoliators
12130,half-wing geometer,Phigalia titea,Defoliators
12131,Phoberia moth,Phoberia atomaris,Defoliators
12132,California oakworm,Phryganidia californica,Defoliators
12133,European snout beetle,Phyllobius oblongus,Defoliators
12134,citrus leafminer,Phyllocnistis citrella,Defoliators
12135,aspen leafminer,Phyllocnistis populiella,Defoliators
12136,yellowheaded spruce sawfly,Pikonema alaskensis,Defoliators
12137,tenlined June beetle,Polyphylla decemlineata,Defoliators
12138,Japanese beetle,Popillia japonica,Defoliators
12139,larch sawfly,Pristiphora erichsonii,Defoliators
12140,mountain-ash sawfly,Pristiphora geniculata,Defoliators
12141,elm leaf beetle,Xanthogaleruca luteola,Defoliators
12142,spear-marked black moth,Rheumaptera hastata,Defoliators
12143,giant silkworm moth,<Saturniidae>,Defoliators
12144,redhumped caterpillar,Schizura concinna,Defoliators
12145,redbanded thrips,Selenothrips rubrocinctus,Defoliators
12146,green larch looper,Semiothisa sexmaculata,Defoliators
12147,maple leafroller ,Sparganothis acerivorana,Defoliators
12148,redhumped oakworm,Symmerista canicosta,Defoliators
12149,orangehumped mapleworm,Symmerista leucitys,Defoliators
12150,spruce needleminer,Taniva albolineana,Defoliators
12151,maple webworm,Tetralopha asperatella,Defoliators
12152,pine webworm,Pococera robustella,Defoliators
12153,introduced basswood thrips,Thrips calcaratus,Defoliators
12154,bagworm,Thyridopteryx ephemeraeformis,Defoliators
12155,leafroller/seed moth,<Tortricidae> [leafroller / seed moth],Defoliators
12157,euonymus caterpillar,Yponomeuta spp.,Defoliators
12158,spruce bud moth,Zeiraphera canadensis,Defoliators
12159,larch bud moth,Zeiraphera improbana,Defoliators
12160,pine needle sheathminer,Zelleria haimbachi,Defoliators
12161,cypress looper,Anacamptodes pergracilis,Defoliators
12162,Chrysomela leaf beetle,Chrysomela spp.,Defoliators
12163,pine colaspis,Colaspis pini,Defoliators
12164,saddleback looper,Ectropis crepuscularia,Defoliators
12165,birch leafroller,Epinotia solandriana,Defoliators
12166,New Mexico fir looper,Galenara consimilis,Defoliators
12167,striped alder sawfly,Hemichroa crocea,Defoliators
12168,greenstriped looper,Melanolophia imitata,Defoliators
12169,willow leaf blotchminer,Micrurapteryx salicifoliella,Defoliators
12170,pine sawfly,Neodiprion autumnalis,Defoliators
12171,pinyon sawfly,Neodiprion edulicolus,Defoliators
12172,<Neodiprion gillettei>,Neodiprion gillettei,Defoliators
12173,<Neodiprion ventralis>,Neodiprion ventralis,Defoliators
12174,pine looper,Phaeoura mexicanaria,Defoliators
12175,<Zadiprion rohweri>,Zadiprion rohweri,Defoliators
12176,bull pine sawfly,Zadiprion townsendi,Defoliators
12177,Douglas-fir budmoth,Zeiraphera hesperiana,Defoliators
12178,western oak looper,Lambdina fiscellaria somniaria,Defoliators
12179,phantom hemlock looper,Nepytia phantasmaria,Defoliators
12180,tent caterpillars,Malacosoma spp.,Defoliators
12181,Abbot's sawfly,Neodiprion abbotii,Defoliators
12182,slash pine sawfly,Neodiprion merkeli,Defoliators
12183,sand pine sawfly,Neodiprion pratti,Defoliators
12184,melalueca leaf weevil,Oxyops vitiosa,Defoliators
12185,cypress leaf beetle,Systena marginalis,Defoliators
12186,<Nepytia janetae>,Nepytia janetae,Defoliators
12187,oak shothole leafminer,Agromyza viridula,Defoliators
12188,elm sawfly,Cimbex americana,Defoliators
12190,hickory tussock moth,Lophocampa caryae,Defoliators
12191,pin oak sawfly,Caliroa lineata,Defoliators
12192,palmerworm,Dichomeris ligulella,Defoliators
12193,pitch pine looper,Lambdina athasaria pellucidaria,Defoliators
12194,red pine sawfly,Neodiprion nanulus nanulus,Defoliators
12195,pine tube moth,Argyrotaenia pinatubana,Defoliators
12196,baldcypress leafroller,Archips goyerana,Defoliators
12197,winter moth,Operophtera brumata,Defoliators
12198,basswood thrips,Neohydatothrips tiliae,Defoliators
12199,noctuid moth,Xylomyges simplex,Defoliators
12200,ash leafroller,Palpita magniferalis,Defoliators
12201,Pacific silver fir budmoth,Zeiraphera spp.,Defoliators
12202,red pine needle midge,Thecodiplosis piniresinosae,Defoliators
12203,western hemlock looper,Lambdina fiscellaria lugubrosa,Defoliators
12204,lodgepole pine sawfly,Neodiprion nanulus contortae,Defoliators
12205,silverspotted tiger moth,Lophocampa argentata,Defoliators
12206,green alder sawfly,Monsoma pulveratum,Defoliators
12207,conifer sawflies,Neodiprion spp.,Defoliators
12208,ambermarked birch leafminer,Profenusa thomsoni,Defoliators
12209,cycad blue butterfly,Chilades pandava,Defoliators
12210,European elm flea weevil,Orchestes alni,Defoliators
12211,eucalyptus snout beetle,Gonipterus scutellatus,Defoliators
12212,European pine needle midge,Contarinia baeri,Defoliators
12213,European spruce needleminer,Epinotia nanana,Defoliators
12214,European web-spinning larch sawfly,Cephalcia lariciphila,Defoliators
12215,imported willow leaf beetle,Plagiodera versicolora,Defoliators
12216,mimosa webworm,Homadaula anisocentra,Defoliators
12217,poplar sawfly,Trichiocampus viminalis,Defoliators
12218,red gum lerp psyllid,Glycaspis brimblecombei,Defoliators
12219,European spruce sawfly,Gilpinia hercyniae,Defoliators
12220,mountain-mahogany moth,Ethmia discostrigella,Defoliators
12221,Myoporum thrips,Klambothrips myopori,Defoliators
12222,koa looper moth,Scotorythra paludicola,Defoliators
12223,bare-patched oak leafroller,Pseudexentera spoliana,Defoliators
12224,Chinese rose beetle,Adoretus sinicus,Defoliators
12225,rose beetle,Adoretus versutus,Defoliators
12226,coconut hispid beetle,Brontispa longissima,Defoliators
12227,green rose chafer,Dichelonyx backi,Defoliators
12228,stick insect,Graeffea crouanii,Defoliators
12229,<Hulodes caranea>,Hulodes caranea,Defoliators
12230,bagworm moth,<Psychidae>,Defoliators
12231,Palau coconut beetle,Brontispa palauenis,Defoliators
12232,madrone thrips,Thrips madronii,Defoliators
12233,thrips,<Thysanoptera>,Defoliators
12234,fall hardwood defoliator group,<fall hardwood defoliator group>,Defoliators
12235,aroga moth,Aroga websteri,Defoliators
12236,aspen twoleaf tier,Enargia decolor,Defoliators
12237,early aspen Leafroller,Pseudexentera oregonana ,Defoliators
12238,cottonwood leafblotch miner ,Phyllonorycter nipigan,Defoliators
12239,tamarisk leaf beetles,Diorhabda spp.,Defoliators
12240,mountain girdle,Enypia griseatta,Defoliators
12241,box-elder tussock moth ,Orgyia leuschneri,Defoliators
12242,spruce budworm (C. orae),Choristoneura orae ,Defoliators
12243,battered sallow,Sunira verberata,Defoliators
12244,western false hemlock looper,Nepytia freemani,Defoliators
12245,speckled green fruitworm,Orthosia hibisci,Defoliators
12246,late birch leaf edgeminer,Heterarthrus nemoratus,Defoliators
12247,autumnal moth,Epirrita autumnata,Defoliators
12248,alder woolly sawfly,Eriocampa ovata,Defoliators
12249,leaf beetles,<leaf beetles>,Defoliators
12250,leafminers,<leafminers>,Defoliators
12251,basswood leafminer,Baliosus nervosus,Defoliators
12260,elm zigzag sawfly,Aproceros leucopoda,Defoliators
12300,budworm,<budworms>,Defoliators
12800,"other defoliator, known (code pending)","<other defoliator, known (code pending)>",Defoliators
12900,unknown defoliator,<unknown defoliator>,Defoliators
13001,grasshopper,<grasshopper>,Other Chewing Insects and Allies
13002,shorthorn grasshoppers,<Acrididae>,Other Chewing Insects and Allies
13003,black cutworm,Agrotis ipsilon,Other Chewing Insects and Allies
13005,clearwinged grasshopper,Camnula pellucida,Other Chewing Insects and Allies
13008,<Euxoa excellens>,Euxoa excellens,Other Chewing Insects and Allies
13009,whitefringed beetles,Graphognathus spp.,Other Chewing Insects and Allies
13011,vegetable weevil,Listroderes difficilis,Other Chewing Insects and Allies
13013,migratory grasshopper,Melanoplus sanguinipes,Other Chewing Insects and Allies
13014,valley grasshopper,Oedaleonotus enigma,Other Chewing Insects and Allies
13015,strawberry root weevil,Otiorhynchus ovatus,Other Chewing Insects and Allies
13016,black vine weevil,Otiorhynchus sulcatus,Other Chewing Insects and Allies
13017,pandanus beetle,Oxycephala pandani,Other Chewing Insects and Allies
13018,spaeth pandanus,Oxycephala spaethi,Other Chewing Insects and Allies
13019,agamemnon butterfly,Papilio agamemnon,Other Chewing Insects and Allies
13022,pine needle weevil,Scythropus spp.,Other Chewing Insects and Allies
13023,coconut longhorned grasshopper,Segestes unicolor,Other Chewing Insects and Allies
13024,clover root curculio,Sitona hispidulus,Other Chewing Insects and Allies
13027,shorthorned grasshopper,Valanga nigricornis,Other Chewing Insects and Allies
13031,Asiatic oak weevil,Cyrtepistomus castaneus,Other Chewing Insects and Allies
13032,weevil,<Curculionidae>,Other Chewing Insects and Allies
13033,Caroline shortnosed weevil,Lophothetes spp.,Other Chewing Insects and Allies
13034,conifer seedling weevil,Steremnius carinatus,Other Chewing Insects and Allies
13800,"other chewing insect or ally, known (code pending)","<other chewing insect or ally, known (code pending)>",Other Chewing Insects and Allies
13900,unknown chewing insect or ally,<unknown chewing insect or ally>,Other Chewing Insects and Allies
14001,scale insects,<Coccodidea>,Sap Feeders
14002,western larch woolly aphid,Adelges oregonensis,Sap Feeders
14003,balsam woolly adelgid,Adelges piceae,Sap Feeders
14004,hemlock woolly adelgid,Adelges tsugae,Sap Feeders
14005,spiraling whitefly,Aleurodicus dispersus,Sap Feeders
14006,aphid,<Aphididae>,Sap Feeders
14007,pine spittlebug,Aphrophora cribrata,Sap Feeders
14008,western pine spittlebug,Aphrophora permutata,Sap Feeders
14009,Saratoga spittlebug,Aphrophora saratogensis,Sap Feeders
14010,spittlebug,<Cercopidae>,Sap Feeders
14011,wax scale,Ceroplastes spp.,Sap Feeders
14012,pine needle scale,Chionaspis pinifoliae,Sap Feeders
14014,giant conifer aphids,Cinara spp.,Sap Feeders
14015,white pine aphid,Cinara strobi,Sap Feeders
