CODE,Title_Name
16046,Spruce Cone Maggot
16047,Shieldbacked Pine Seed Bug
16048,Coneworm
16049,Prairie Tent Caterpillar
16050,Jack Pine Tip Beetle
16051,Webbing Coneworm
16052,Blister Coneworm
16053,Southern Cone Gall Midge
16054,Seed Bugs
16055,Spruce Coneworm
16800,"Other Seed/Cone/Flower/Fruit Feeder, Known (Code Pending)"
16900,Unknown Seed/Cone/Flower/Fruit Feeder
17000,Gallmakers
17001,Birch Budgall Mite
17002,Eastern Spruce Gall Adelgid
17003,Cooley Spruce Gall Adelgid
17004,Horned Oak Gall
17005,Oak Gall Wasp
17006,Gall Midge
17007,Douglas-fir Needle Midge
17008,Gall Mite
17009,Spruce Gall Midge
17010,Hackberry Nipplegall Maker
17011,Balsam Gall Midge
17012,Hickory Gall Phylloxera
17013,Gall Aphid
17014,Alder Gall Mite
17015,Psyllid
17016,Sugarberry Psyllid
17017,Mountain Apple Psyllid
17018,Gouty Pitch Midge
17019,Spider Mites
17020,Cypress Gall Midges
17021,Jumping Oak Gall Wasp
17022,Erythrina Gall Wasp
17023,Chestnut Gall Wasp
17024,Crypt Gall Wasp
17025,Gall Sawfly
17026,Willow Gall Midge
17027,Cottonwood Gall Aphid
17028,Poplar Gall Aphid
17800,"Other Gallmaker, Known (Code Pending)"
17900,Unknown Gallmaker
18000,"Terminal Shoot, Twig, and Root Feeders"
18001,Lacewings
18002,Blackbellied Clerid
18003,Redbellied Clerid
18004,Red Wood Ant
18005,Western Yellowjacket
18006,Pine Tip Moths
18007,Conifer Swift Moth
18008,Coconut Rhinoceros Beetle
18009,Scarab
18010,June Beetle
18011,Pales Weevil
18012,Periodical Cicada
18013,Northern Pitch Twig Moth
18014,Ponderosa Pine Tip Moth
18015,Pitch-Eating Weevil
18016,Eastern Pine Weevil
18017,Adana Tip Moth
18018,Twig Girdler
18019,Cranberry Girdler
18020,Pine Reproduction Weevil
18021,Douglas-fir Twig Weevil
18022,Oak Twig Borers
18023,Twig Pruner
18024,Eastern Pine Shoot Borer
